id,calories,proteins,fat,carbohydrate,name,image,recipe
402,192.0,12.7,10.1,12.7,Gurame asem manis masakan,https://d12man5gwydfvl.cloudfront.net/wp-content/uploads/2020/03/shutterstock_1561182373.jpg,https://cookpad.com/id/resep/16762319-gurame-asam-manis?ref=search&search_term=gurame%20asam%20manis
403,218.0,0.5,2.5,48.5,Gurandil,https://i.ytimg.com/vi/xDsBbOWMWJo/maxresdefault.jpg,https://cookpad.com/id/resep/17239060-cenil-cethil-gurandil?ref=search&search_term=gurandil
410,146.0,17.7,5.9,5.6,Ikan asar merah masakan,https://t-2.tstatic.net/medan/foto/bank/images2/Resep-Ikan-Asar-dan-Cara-Membuatnya-Hidangan-Khas-Maluku.jpg,https://cookpad.com/id/resep/4977665-ikan-bumbu-merah
411,380.0,33.6,27.5,0.0,Ikan Asin bilis goreng,https://img-global.cpcdn.com/recipes/446879a009d58694/1200x630cq70/photo.jpg,https://www.masakan-rumahan.com/recipe/resep-ikan-bilis-goreng-balado-ikan-bilih-goreng-baldo-ikan-bilih-asli-danau-singkarak/
412,456.0,46.5,24.4,0.0,Ikan Asin gabus goreng,https://images.tokopedia.net/img/cache/700/product-1/2019/7/27/6486945/6486945_99c1b375-e266-42bb-b539-f5731fb74114_960_960.jpg,https://cookpad.com/id/resep/13404935-ikan-asin-gabus-goreng-simpel?ref=search&search_term=Ikan%20asin%20gabus%20goreng
413,348.0,18.7,29.5,0.0,Ikan Asin japuh goreng,https://img-global.cpcdn.com/recipes/756a62f3201bd80c/1200x630cq70/photo.jpg,https://cookpad.com/id/resep/16562626-ikan-asin-japuh-crispy-bestiesnya-sayur-asem-ala-pawon-si-mbok?ref=search&search_term=Ikan%20Asin%20japuh%20goreng
415,430.0,58.2,23.6,0.0,Ikan Asin pari goreng,https://img-global.cpcdn.com/recipes/Recipe_2015_01_31_12_33_39_810_87c9c03bd7c9a069b268/680x482cq70/ikan-pari-goreng-foto-resep-utama.jpg,https://cookpad.com/id/resep/206649-ikan-pari-goreng
416,652.0,40.4,54.3,0.0,Ikan Asin pepetek goreng,https://img-global.cpcdn.com/recipes/63c1692184e591d6/1200x630cq70/photo.jpg,https://cookpad.com/id/resep/14216056-petek-asin-goreng-crispy
423,296.0,17.1,20.3,11.3,Ikan bandeng presto masakan,https://www.philips.com/c-dam/b2c/id_ID/experience/ho/cooking/iikan-goreng-thumbnail.jpg,https://resepkoki.id/resep/resep-ikan-bandeng-presto/
430,128.0,18.0,3.0,7.2,Ikan Belida bakar,https://nilaigizi.com/assets/images/produk/produk_1535645437.JPG,https://www.resepistimewa.com/4-resep-bumbu-ikan-bakar-spesial-super-lezat/
468,252.0,19.9,19.1,0.0,Ikan Lele goreng,https://kbu-cdn.com/dk/wp-content/uploads/lele-goreng-bumbu-lengkuas.jpg,https://cookpad.com/id/resep/22655584-lele-goreng-kriuk?ref=search&search_term=lele%20goreng
